,Q1. WWW transfers data using,FTP,HTTP,SMTP,POP,B,HTTP
,Q2. Which is not a Web Client,Microsoft Word,Mobile Apps,Screen Reader,Content Aggregators,A,Microsoft Word
,Q3. Which server translates Domain Name to IP Address ?,Mail Server,Web Server,DNS Server,FTP Server,C,DNS Server
,Q4. What is DNS ?,Domain Names Server,Distributed Names Server,Dynamic Name Server,Digital Name Server,A,Domain Names Server
,Q5. Which Name server gives the IP address of .COM Name Servers ?,Base Name Server,Root Name Server,Standard Name Server,Internet Name Server,B,Root Name Server
,Q6. What is TCP/IP ?,Protocol,Protocol Suite,Computer Program,IP Address,B,Protocol Suite
,Q7. HTTP stands for,High Text Transfer Protocol,Hypertext Transfer Protocol,Hidden Transfer Protocol,Highway Transfer Protocol,B,Hypertext Transfer Protocol
,Q8. www in www.lithan.com stands for Sub Domain,TRUE ,FALSE,,,A,TRUE 
,Q9. Which is not a Web Browser ?,Internet SQL,Internet Edge,Chrome,Firefox ,A,Internet SQL
,Q10. Which organization is responsible for Web Standards,Microsoft,Oracle,Google,W3C,D,W3C
